Морковь, Китай, 5 тонн, 7050000 рублей
Кошачий корм, Австрия, 2 тонны, 500000 рублей
Курица (бедра или окорочка), Германия, 1 тонна, 1000000 рублей
Лимон, Австралия, 20 тонн, 1000000 рублей
Детское питание 7 банок, Аргентина, 20 тонн, 7050000 рублей
шоколад, Китай, 10 тонн, 14850000 рублей
Чеснок, США, 15 тонн, 1000000 рублей
Малиновое варенье, Перу, 10 тонн, 1250000 рублей
яблоки, Перу, 15 тонн, 12340000 рублей
Петрушка, Аргентина, 1 тонна, 500000 рублей
яблоки, Китай, 15 тонн, 500000 рублей
хлеб, Перу, 50 тонн, 1250000 рублей
Масло сливочное, США, 1 тонна, 1000000 рублей
Кефир, Китай, 15 тонн, 7050000 рублей
Котлеты (домашний полуфабрикат), Китай, 50 тонн, 7050000 рублей
Молоко детское, Австрия, 30 тонн, 12340000 рублей
Томатная паста, США, 20 тонн, 1000000 рублей
шоколад, Перу, 2 тонны, 500000 рублей
хлеб, Венгрия, 10 тонн, 7050000 рублей
Петрушка, Китай, 5 тонн, 12340000 рублей
Котлеты (домашний полуфабрикат), Австрия, 2 тонны, 7050000 рублей
Сгущенка, Германия, 1 тонна, 1250000 рублей
Картофель, Австралия, 1 тонна, 1000000 рублей
Горчица, Германия, 15 тонн, 7050000 рублей
Баллончик со сливками, Австрия, 2 тонны, 1250000 рублей
Рыбная консерва, Перу, 2 тонны, 500000 рублей
яблоки, Германия, 50 тонн, 1000000 рублей
Баллончик со сливками, Австрия, 2 тонны, 1250000 рублей
Кефир, США, 30 тонн, 1250000 рублей
хлеб, Аргентина, 5 тонн, 7050000 рублей
Морковь, США, 20 тонн, 14850000 рублей
Курица (бедра или окорочка), Перу, 5 тонн, 1250000 рублей
Курица (бедра или окорочка), Перу, 2 тонны, 1000000 рублей
Консервированная кукуруза, Аргентина, 5 тонн, 1000000 рублей
масло, США, 2 тонны, 1250000 рублей
Томатная паста, Китай, 5 тонн, 500000 рублей
Панировочные сухари, Перу, 2 тонны, 1250000 рублей
Рыбная консерва, Австрия, 5 тонн, 1250000 рублей
Панировочные сухари, Австрия, 2 тонны, 14850000 рублей
Сыр, Венгрия, 20 тонн, 14850000 рублей
Творог, США, 30 тонн, 500000 рублей
Чеснок, Австралия, 10 тонн, 500000 рублей
Петрушка, Китай, 20 тонн, 12340000 рублей
яблоки, Перу, 50 тонн, 1000000 рублей
Кошачий корм, Венгрия, 5 тонн, 14850000 рублей
Кефир, Китай, 5 тонн, 14850000 рублей
Кошачий корм, Австрия, 15 тонн, 7050000 рублей
Молоко детское, Перу, 5 тонн, 1000000 рублей
Курица (бедра или окорочка), Китай, 1 тонна, 500000 рублей
Стручковая фасоль, США, 10 тонн, 12340000 рублей
Курица (бедра или окорочка), Австрия, 20 тонн, 14850000 рублей
Курица (бедра или окорочка), Австралия, 1 тонна, 14850000 рублей
Суповой набор мясной, Австралия, 15 тонн, 12340000 рублей
Томатная паста, Австрия, 5 тонн, 12340000 рублей
Детское питание 7 банок, Германия, 2 тонны, 7050000 рублей
Рыбная консерва, Аргентина, 30 тонн, 1000000 рублей
Стручковая фасоль, Австрия, 30 тонн, 1000000 рублей
Петрушка, США, 20 тонн, 1000000 рублей
груши, Венгрия, 1 тонна, 1250000 рублей
рыба, Аргентина, 5 тонн, 12340000 рублей
Масло сливочное, Венгрия, 2 тонны, 14850000 рублей
Котлеты (домашний полуфабрикат), США, 20 тонн, 7050000 рублей
яблоки, США, 1 тонна, 500000 рублей
Томатная паста, США, 15 тонн, 1000000 рублей
Фрикадельки (домашний полуфабрикат), Германия, 2 тонны, 500000 рублей
шоколад, Венгрия, 50 тонн, 14850000 рублей
Рыбная консерва, Аргентина, 1 тонна, 12340000 рублей
Баллончик со сливками, Китай, 1 тонна, 1250000 рублей
Масло сливочное, Австралия, 15 тонн, 12340000 рублей
Рыбная консерва, США, 2 тонны, 1250000 рублей
Сыр, Аргентина, 30 тонн, 1000000 рублей
Баллончик со сливками, Австрия, 50 тонн, 7050000 рублей
шоколад, Китай, 2 тонны, 7050000 рублей
Курица (бедра или окорочка), Австрия, 15 тонн, 500000 рублей
Котлеты (домашний полуфабрикат), США, 5 тонн, 1000000 рублей
Панировочные сухари, США, 30 тонн, 7050000 рублей
Петрушка, Венгрия, 15 тонн, 1000000 рублей
шоколад, Венгрия, 20 тонн, 1250000 рублей
Горчица, Австрия, 1 тонна, 7050000 рублей
зерно, Венгрия, 50 тонн, 7050000 рублей
Сыр, Венгрия, 10 тонн, 7050000 рублей
Лимон, Перу, 15 тонн, 1250000 рублей
зерно, Австрия, 5 тонн, 12340000 рублей
Морковь, Австралия, 5 тонн, 12340000 рублей
яблоки, Аргентина, 50 тонн, 12340000 рублей
масло, Венгрия, 2 тонны, 500000 рублей
масло, Венгрия, 1 тонна, 12340000 рублей
Баллончик со сливками, Австралия, 30 тонн, 500000 рублей
Петрушка, Австрия, 15 тонн, 12340000 рублей
Курица (бедра или окорочка), Китай, 5 тонн, 1250000 рублей
