шоколад, Германия, 20 тонн, 12340000 рублей
шоколад, Перу, 10 тонн, 12340000 рублей
масло, США, 2 тонны, 7050000 рублей
яблоки, Китай, 1 тонна, 7050000 рублей
рыба, Австрия, 10 тонн, 1250000 рублей
хлеб, Германия, 5 тонн, 7050000 рублей
зерно, Перу, 5 тонн, 1250000 рублей
рыба, Австралия, 30 тонн, 1000000 рублей
шоколад, США, 2 тонны, 500000 рублей
рыба, Перу, 50 тонн, 1000000 рублей
хлеб, Австралия, 1 тонна, 1250000 рублей
яблоки, США, 20 тонн, 500000 рублей
хлеб, Перу, 2 тонны, 12340000 рублей
зерно, Германия, 15 тонн, 500000 рублей
шоколад, Австрия, 15 тонн, 1250000 рублей
шоколад, Аргентина, 15 тонн, 1000000 рублей
хлеб, Аргентина, 2 тонны, 1000000 рублей
шоколад, Австрия, 10 тонн, 500000 рублей
груши, Германия, 50 тонн, 12340000 рублей
рыба, Перу, 10 тонн, 1000000 рублей
яблоки, Китай, 1 тонна, 1250000 рублей
масло, Перу, 5 тонн, 7050000 рублей
рыба, Аргентина, 15 тонн, 1250000 рублей
шоколад, Венгрия, 10 тонн, 7050000 рублей
зерно, Аргентина, 5 тонн, 1250000 рублей
масло, США, 5 тонн, 7050000 рублей
груши, Германия, 10 тонн, 1250000 рублей
яблоки, Германия, 1 тонна, 1250000 рублей
хлеб, Перу, 15 тонн, 1000000 рублей
хлеб, Аргентина, 30 тонн, 1000000 рублей
груши, Китай, 20 тонн, 14850000 рублей
груши, Китай, 15 тонн, 1250000 рублей
рыба, Перу, 1 тонна, 12340000 рублей
груши, Австрия, 5 тонн, 14850000 рублей
рыба, Венгрия, 5 тонн, 1000000 рублей
масло, Аргентина, 20 тонн, 7050000 рублей
шоколад, Германия, 20 тонн, 1000000 рублей
рыба, Китай, 15 тонн, 1000000 рублей
хлеб, Китай, 10 тонн, 14850000 рублей
масло, Перу, 30 тонн, 1250000 рублей
рыба, Австрия, 2 тонны, 500000 рублей
груши, Германия, 30 тонн, 500000 рублей
масло, Аргентина, 5 тонн, 12340000 рублей
хлеб, Германия, 30 тонн, 14850000 рублей
хлеб, США, 10 тонн, 1000000 рублей
масло, Перу, 20 тонн, 1250000 рублей
зерно, Венгрия, 20 тонн, 1000000 рублей
масло, Китай, 30 тонн, 500000 рублей
масло, Австралия, 20 тонн, 1250000 рублей
зерно, Австралия, 30 тонн, 1250000 рублей
яблоки, Аргентина, 20 тонн, 1250000 рублей
зерно, Австралия, 20 тонн, 14850000 рублей
яблоки, Австрия, 2 тонны, 7050000 рублей
масло, Венгрия, 5 тонн, 1250000 рублей
рыба, Аргентина, 30 тонн, 14850000 рублей
рыба, Аргентина, 5 тонн, 500000 рублей
шоколад, США, 10 тонн, 500000 рублей
масло, Аргентина, 1 тонна, 7050000 рублей
масло, Китай, 30 тонн, 1000000 рублей
яблоки, США, 2 тонны, 14850000 рублей
масло, Аргентина, 5 тонн, 1250000 рублей
груши, Аргентина, 10 тонн, 500000 рублей
рыба, Китай, 20 тонн, 7050000 рублей
рыба, Германия, 2 тонны, 14850000 рублей
груши, Венгрия, 1 тонна, 500000 рублей
груши, Венгрия, 5 тонн, 1250000 рублей
рыба, Перу, 5 тонн, 1000000 рублей
рыба, Германия, 5 тонн, 500000 рублей
хлеб, Перу, 2 тонны, 500000 рублей
рыба, Перу, 15 тонн, 1250000 рублей
зерно, Китай, 10 тонн, 500000 рублей
масло, Перу, 2 тонны, 12340000 рублей
груши, Австралия, 15 тонн, 14850000 рублей
яблоки, Венгрия, 15 тонн, 14850000 рублей
груши, Аргентина, 5 тонн, 12340000 рублей
яблоки, Аргентина, 20 тонн, 7050000 рублей
масло, США, 1 тонна, 1250000 рублей
хлеб, Венгрия, 2 тонны, 7050000 рублей
масло, Венгрия, 30 тонн, 1000000 рублей
груши, Австрия, 30 тонн, 14850000 рублей
шоколад, Германия, 1 тонна, 7050000 рублей
груши, Австрия, 5 тонн, 500000 рублей
масло, Аргентина, 15 тонн, 500000 рублей
зерно, Австралия, 50 тонн, 1000000 рублей
масло, Перу, 5 тонн, 12340000 рублей
масло, Австралия, 5 тонн, 7050000 рублей
шоколад, Аргентина, 10 тонн, 1000000 рублей
шоколад, Австралия, 50 тонн, 500000 рублей
шоколад, Венгрия, 15 тонн, 1250000 рублей
рыба, Китай, 20 тонн, 500000 рублей
зерно, США, 5 тонн, 1250000 рублей
масло, США, 30 тонн, 500000 рублей
груши, Австрия, 20 тонн, 1250000 рублей
груши, Венгрия, 2 тонны, 500000 рублей
зерно, Германия, 10 тонн, 1250000 рублей
масло, США, 30 тонн, 1000000 рублей
груши, Австрия, 1 тонна, 7050000 рублей
зерно, Перу, 5 тонн, 12340000 рублей
яблоки, Китай, 20 тонн, 1000000 рублей
шоколад, Перу, 50 тонн, 14850000 рублей
рыба, Китай, 1 тонна, 1000000 рублей
рыба, Аргентина, 30 тонн, 1250000 рублей
зерно, Австралия, 10 тонн, 14850000 рублей
яблоки, Австралия, 5 тонн, 7050000 рублей
хлеб, Австрия, 30 тонн, 7050000 рублей
рыба, Германия, 5 тонн, 500000 рублей
зерно, Германия, 50 тонн, 1250000 рублей
шоколад, Китай, 10 тонн, 14850000 рублей
зерно, Австралия, 30 тонн, 1250000 рублей
зерно, Австралия, 30 тонн, 14850000 рублей
зерно, Венгрия, 5 тонн, 1250000 рублей
яблоки, Перу, 30 тонн, 7050000 рублей
рыба, Перу, 30 тонн, 7050000 рублей
яблоки, Австрия, 20 тонн, 500000 рублей
хлеб, Австралия, 20 тонн, 7050000 рублей
масло, Австралия, 2 тонны, 1250000 рублей
зерно, Аргентина, 30 тонн, 14850000 рублей
хлеб, США, 20 тонн, 14850000 рублей
рыба, Австрия, 5 тонн, 1000000 рублей
рыба, Австралия, 1 тонна, 12340000 рублей
шоколад, Аргентина, 10 тонн, 500000 рублей
рыба, Перу, 50 тонн, 1250000 рублей
яблоки, Австралия, 20 тонн, 14850000 рублей
яблоки, США, 2 тонны, 12340000 рублей
яблоки, Германия, 5 тонн, 1000000 рублей
яблоки, Венгрия, 30 тонн, 1250000 рублей
шоколад, Германия, 20 тонн, 1000000 рублей
рыба, Венгрия, 15 тонн, 14850000 рублей
груши, Аргентина, 5 тонн, 1000000 рублей
масло, Китай, 30 тонн, 7050000 рублей
масло, Венгрия, 5 тонн, 12340000 рублей
рыба, США, 10 тонн, 1250000 рублей
масло, Австрия, 30 тонн, 500000 рублей
шоколад, Венгрия, 50 тонн, 500000 рублей
хлеб, Перу, 20 тонн, 1250000 рублей
хлеб, Австралия, 30 тонн, 1000000 рублей
зерно, Китай, 5 тонн, 14850000 рублей
хлеб, Германия, 30 тонн, 1250000 рублей
хлеб, США, 50 тонн, 500000 рублей
яблоки, Перу, 50 тонн, 7050000 рублей
груши, Венгрия, 10 тонн, 14850000 рублей
рыба, США, 2 тонны, 1250000 рублей
зерно, Германия, 20 тонн, 1000000 рублей
масло, США, 50 тонн, 1000000 рублей
зерно, Китай, 50 тонн, 12340000 рублей
хлеб, Китай, 10 тонн, 12340000 рублей
шоколад, Перу, 5 тонн, 1000000 рублей
хлеб, Аргентина, 5 тонн, 1000000 рублей
груши, США, 20 тонн, 1000000 рублей
груши, Австрия, 50 тонн, 12340000 рублей
груши, Германия, 1 тонна, 500000 рублей
масло, Китай, 50 тонн, 14850000 рублей
масло, Китай, 1 тонна, 500000 рублей
рыба, Китай, 1 тонна, 7050000 рублей
хлеб, США, 5 тонн, 7050000 рублей
масло, Перу, 2 тонны, 14850000 рублей
яблоки, Китай, 15 тонн, 7050000 рублей
шоколад, США, 10 тонн, 14850000 рублей
рыба, Австрия, 2 тонны, 14850000 рублей
зерно, Аргентина, 1 тонна, 1250000 рублей
шоколад, Германия, 15 тонн, 12340000 рублей
рыба, Австрия, 50 тонн, 500000 рублей
